,State,Peak1DayCases,Peak1DayCasesDate,Peak3DayAvgCases,Peak3DayAvgCasesDate,Peak7DayAvgCases,Peak7DayAvgCasesDate,Peak9DayAvgCases,Peak9DayAvgCasesDate,Peak1DayDeaths,Peak1DayDeathsDate,Peak3DayAvgDeaths,Peak3DayAvgDeathsDate,Peak7DayAvgDeaths,Peak7DayAvgDeathsDate,Peak9DayAvgDeaths,Peak9DayAvgDeathsDate
36,Oklahoma,171.0,4/04/20,146.66666666666666,4/04/20,129.42857142857142,4/07/20,124.22222222222223,4/09/20,21.0,4/21/20,12.0,4/23/20,8.285714285714286,4/25/20,8.0,4/15/20
37,Oregon,169.0,4/05/20,87.33333333333333,4/13/20,78.28571428571429,5/10/20,76.11111111111111,4/13/20,11.0,4/09/20,5.666666666666667,4/09/20,3.7142857142857144,4/11/20,4.111111111111111,4/17/20
38,Pennsylvania,2297.0,4/23/20,1732.6666666666667,4/10/20,1640.142857142857,4/10/20,1605.6666666666667,4/11/20,341.0,5/05/20,250.33333333333334,5/07/20,161.85714285714286,5/05/20,171.44444444444446,5/07/20
39,Rhode Island,648.0,4/17/20,429.3333333333333,4/25/20,390.42857142857144,4/26/20,400.0,4/25/20,31.0,4/17/20,23.0,5/28/20,17.428571428571427,5/07/20,17.22222222222222,5/29/20
40,South Carolina,1038.0,6/05/20,623.6666666666666,6/07/20,346.42857142857144,6/07/20,350.55555555555554,6/07/20,39.0,4/29/20,22.333333333333332,4/30/20,15.142857142857142,5/04/20,14.222222222222221,5/06/20
41,South Dakota,248.0,5/09/20,204.33333333333334,5/09/20,136.0,5/13/20,123.0,5/15/20,5.0,5/06/20,3.3333333333333335,5/01/20,2.2857142857142856,5/06/20,2.2222222222222223,5/07/20
42,Tennessee,1776.0,6/02/20,874.6666666666666,6/04/20,561.0,6/07/20,499.77777777777777,6/06/20,17.0,6/02/20,12.333333333333334,6/04/20,8.285714285714286,4/09/20,8.222222222222221,4/10/20
43,Texas,1993.0,6/05/20,1864.3333333333333,6/06/20,1685.0,6/06/20,1611.888888888889,6/07/20,63.0,5/14/20,48.666666666666664,4/30/20,36.42857142857143,5/15/20,37.0,5/16/20
44,Utah,546.0,6/06/20,433.6666666666667,6/06/20,324.14285714285717,6/07/20,319.6666666666667,6/06/20,8.0,5/19/20,4.0,5/21/20,2.7142857142857144,5/23/20,2.7777777777777777,5/13/20
45,Vermont,72.0,4/04/20,58.0,4/05/20,41.42857142857143,4/09/20,41.44444444444444,4/11/20,4.0,4/16/20,3.0,4/18/20,1.8571428571428572,4/18/20,1.6666666666666667,4/18/20
46,Virginia,1615.0,5/26/20,1335.0,5/27/20,1194.7142857142858,5/31/20,1110.5555555555557,6/02/20,57.0,5/28/20,43.333333333333336,5/28/20,34.0,5/28/20,32.888888888888886,5/28/20
47,Washington,781.0,4/02/20,546.3333333333334,4/04/20,524.0,4/08/20,501.22222222222223,4/10/20,45.0,4/06/20,30.0,4/06/20,27.428571428571427,4/08/20,27.666666666666668,4/10/20
48,West Virginia,125.0,5/27/20,67.66666666666667,5/22/20,48.857142857142854,5/28/20,48.111111111111114,5/28/20,6.0,4/20/20,3.3333333333333335,4/21/20,2.7142857142857144,4/23/20,2.4444444444444446,4/23/20
49,Wisconsin,733.0,5/29/20,614.6666666666666,5/29/20,479.0,5/30/20,482.77777777777777,5/30/20,22.0,5/27/20,17.0,5/29/20,12.857142857142858,6/02/20,12.11111111111111,6/04/20
50,Wyoming,126.0,4/21/20,45.333333333333336,4/23/20,29.0,4/27/20,25.333333333333332,4/29/20,4.0,4/22/20,1.6666666666666667,4/23/20,0.7142857142857143,4/22/20,0.6666666666666666,4/23/20
